run_id,config,config_hash,seed,git_hash,mode,runtime_s,node_count,edge_count,peak_mem_mb,accuracy,auc,f1,precision,recall,tp,fp,fn,tn
ablation_001_2f16d034_42,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': True, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'none'}",2f16d034,42,1434befb,lite,3.9947123527526855,1000,0,0.0,0.4950000047683716,0.5199999809265137,0.6622073578595317,0.495,1.0,99,101,0,0
ablation_002_2f16d034_123,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': True, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'none'}",2f16d034,123,1434befb,lite,0.6045999526977539,1000,0,0.0,0.4650000035762787,0.5,0.6348122866894198,0.465,1.0,93,107,0,0
ablation_003_2f16d034_456,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': True, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'none'}",2f16d034,456,1434befb,lite,0.541285514831543,1000,0,0.0,0.5049999952316284,0.5099999904632568,0.6710963455149502,0.505,1.0,101,99,0,0
ablation_004_6206caad_42,"{'use_cusp': False, 'use_hypergraph': True, 'use_memory': True, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'none'}",6206caad,42,1434befb,lite,0.23040223121643066,1000,0,0.0,0.4950000047683716,0.5,0.6622073578595317,0.495,1.0,99,101,0,0
ablation_005_6206caad_123,"{'use_cusp': False, 'use_hypergraph': True, 'use_memory': True, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'none'}",6206caad,123,1434befb,lite,0.2913234233856201,1000,0,0.0,0.4650000035762787,0.5,0.6348122866894198,0.465,1.0,93,107,0,0
ablation_006_6206caad_456,"{'use_cusp': False, 'use_hypergraph': True, 'use_memory': True, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'none'}",6206caad,456,1434befb,lite,0.2173473834991455,1000,0,0.0,0.5049999952316284,0.5400000214576721,0.6710963455149502,0.505,1.0,101,99,0,0
ablation_007_3bb34269_42,"{'use_cusp': True, 'use_hypergraph': False, 'use_memory': True, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'none'}",3bb34269,42,1434befb,lite,0.5275824069976807,1000,0,0.0,0.4950000047683716,0.550000011920929,0.6622073578595317,0.495,1.0,99,101,0,0
ablation_008_3bb34269_123,"{'use_cusp': True, 'use_hypergraph': False, 'use_memory': True, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'none'}",3bb34269,123,1434befb,lite,0.6101515293121338,1000,0,0.0,0.4650000035762787,0.5,0.6348122866894198,0.465,1.0,93,107,0,0
ablation_009_3bb34269_456,"{'use_cusp': True, 'use_hypergraph': False, 'use_memory': True, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'none'}",3bb34269,456,1434befb,lite,0.554391622543335,1000,0,0.0,0.5049999952316284,0.5,0.6710963455149502,0.505,1.0,101,99,0,0
ablation_010_bb6d818f_42,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': False, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'none'}",bb6d818f,42,1434befb,lite,0.35212111473083496,1000,0,0.0,0.4950000047683716,0.5299999713897705,0.6622073578595317,0.495,1.0,99,101,0,0
ablation_011_bb6d818f_123,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': False, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'none'}",bb6d818f,123,1434befb,lite,0.34576845169067383,1000,0,0.0,0.4650000035762787,0.5400000214576721,0.6348122866894198,0.465,1.0,93,107,0,0
ablation_012_bb6d818f_456,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': False, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'none'}",bb6d818f,456,1434befb,lite,0.3962428569793701,1000,0,0.0,0.5049999952316284,0.5199999809265137,0.6710963455149502,0.505,1.0,101,99,0,0
ablation_013_c31d6b7f_42,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': True, 'use_spottarget': False, 'use_gsampler': True, 'use_rg_defense': 'none'}",c31d6b7f,42,1434befb,lite,0.7177550792694092,1000,0,0.0,0.4950000047683716,0.5199999809265137,0.6622073578595317,0.495,1.0,99,101,0,0
ablation_014_c31d6b7f_123,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': True, 'use_spottarget': False, 'use_gsampler': True, 'use_rg_defense': 'none'}",c31d6b7f,123,1434befb,lite,2.0827503204345703,1000,0,0.0,0.4650000035762787,0.5,0.6348122866894198,0.465,1.0,93,107,0,0
ablation_015_c31d6b7f_456,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': True, 'use_spottarget': False, 'use_gsampler': True, 'use_rg_defense': 'none'}",c31d6b7f,456,1434befb,lite,0.7028827667236328,1000,0,0.0,0.5049999952316284,0.5099999904632568,0.6710963455149502,0.505,1.0,101,99,0,0
ablation_016_e9edf056_42,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': True, 'use_spottarget': True, 'use_gsampler': False, 'use_rg_defense': 'none'}",e9edf056,42,1434befb,lite,0.5913596153259277,1000,0,0.0,0.4950000047683716,0.5199999809265137,0.6622073578595317,0.495,1.0,99,101,0,0
